geoid,0,1,2
14000US36047042300,2.0,2.0,2.0
14000US36061021100,23.0,37.0,18.0
14000US36047020300,2.0,2.0,2.0
14000US36061002602,2.0,2.0,2.0
14000US36047007600,2.0,2.0,2.0
14000US36061011500,39.0,38.0,29.0
14000US34013003100,1.0,1.0,1.0
14000US36047049500,2.0,2.0,2.0
14000US36047006900,2.0,2.0,2.0
14000US34017018900,1.0,1.0,1.0
14000US34017018500,1.0,1.0,1.0
14000US36061025500,1.0,1.0,1.0
14000US36061003300,40.0,7.0,36.0
14000US36103110402,2.0,2.0,2.0
14000US36071012602,9.0,10.0,7.0
14000US34039036200,1.0,1.0,1.0
14000US36047051500,2.0,2.0,2.0
14000US36027220801,9.0,10.0,7.0
14000US36061006500,30.0,33.0,26.0
14000US36085022600,6.0,6.0,8.0
14000US36119013700,9.0,10.0,7.0
14000US36119014805,9.0,10.0,7.0
14000US36119001101,9.0,10.0,7.0
14000US34025810900,1.0,1.0,1.0
14000US36027050205,9.0,10.0,7.0
14000US36027060302,9.0,10.0,7.0
14000US36059414501,10.0,2.0,9.0
14000US34039033100,1.0,1.0,1.0
14000US34039031000,1.0,1.0,1.0
14000US34035053300,1.0,1.0,1.0
14000US36047059401,6.0,6.0,8.0
14000US36059412400,10.0,2.0,9.0
14000US36103110901,10.0,2.0,9.0
14000US36119004800,9.0,10.0,7.0
14000US36061016500,2.0,2.0,2.0
14000US36061004000,41.0,39.0,17.0
14000US36061009000,19.0,40.0,30.0
14000US34031181000,1.0,1.0,1.0
14000US34003020200,1.0,1.0,1.0
14000US34023002401,1.0,1.0,1.0
14000US36103159404,10.0,2.0,9.0
14000US36059415000,1.0,2.0,1.0
14000US36103110300,2.0,2.0,9.0
14000US36047029800,6.0,6.0,8.0
14000US34017015801,23.0,19.0,3.0
14000US36047051100,30.0,26.0,29.0
14000US36103201100,10.0,2.0,9.0
14000US36081083800,10.0,12.0,9.0
14000US36059416701,10.0,2.0,9.0
14000US36103112002,10.0,2.0,9.0
14000US34023004600,1.0,1.0,1.0
14000US34023007203,1.0,1.0,1.0
14000US36059411000,42.0,11.0,10.0
14000US36081103202,2.0,2.0,2.0
14000US34023001411,1.0,1.0,1.0
14000US36061006100,43.0,3.0,24.0
14000US36005005400,44.0,3.0,27.0
14000US34025810102,1.0,1.0,1.0
14000US36103123001,10.0,2.0,9.0
14000US34013980200,1.0,1.0,1.0
14000US34013018300,1.0,1.0,1.0
14000US36085008100,6.0,6.0,8.0
14000US36071010802,9.0,10.0,7.0
14000US36103111202,10.0,2.0,9.0
14000US34025806201,1.0,1.0,1.0
14000US34003015400,1.0,1.0,1.0
14000US36061028700,2.0,2.0,2.0
14000US36061003602,2.0,2.0,2.0
14000US36103190800,2.0,2.0,2.0
14000US34025810502,1.0,1.0,1.0
14000US36081046000,38.0,11.0,10.0
14000US34013012300,1.0,1.0,1.0
14000US36061007000,9.0,10.0,7.0
14000US36061014200,2.0,2.0,2.0
14000US36081025900,1.0,1.0,1.0
14000US34035051800,1.0,1.0,1.0
