geoid,0,1,2
14000US34031183200,4.0,3.0,4.0
14000US36047089600,34.0,31.0,13.0
14000US36005015900,1.0,31.0,1.0
14000US34017001201,4.0,3.0,14.0
14000US34017007400,4.0,3.0,14.0
14000US34025806501,4.0,3.0,4.0
14000US34025805400,4.0,3.0,4.0
14000US34025804700,4.0,3.0,4.0
14000US36061014602,15.0,20.0,35.0
14000US36027070401,1.0,1.0,1.0
14000US36061024100,18.0,25.0,23.0
14000US36061016100,22.0,17.0,1.0
14000US34039037601,4.0,3.0,4.0
14000US34025812000,4.0,3.0,4.0
14000US34029727002,4.0,3.0,4.0
14000US36103146615,3.0,4.0,3.0
14000US36103158607,3.0,4.0,3.0
14000US34017018800,4.0,3.0,4.0
14000US36081005700,21.0,17.0,18.0
14000US36081026700,3.0,4.0,3.0
14000US36061013000,3.0,4.0,6.0
14000US34023002703,4.0,3.0,4.0
14000US34023001903,4.0,3.0,4.0
14000US36061027100,2.0,21.0,16.0
14000US34017019400,4.0,3.0,4.0
14000US36047000100,3.0,4.0,3.0
14000US34023004300,4.0,3.0,4.0
14000US34023000801,4.0,3.0,4.0
14000US36061005400,1.0,7.0,35.0
14000US36061017500,23.0,4.0,25.0
14000US34013017400,4.0,3.0,4.0
14000US34013017600,4.0,3.0,4.0
14000US36085032300,2.0,2.0,2.0
14000US36061021900,1.0,7.0,1.0
14000US36119001502,1.0,1.0,1.0
14000US34017012300,36.0,13.0,30.0
14000US34017012900,36.0,13.0,30.0
14000US36059414700,3.0,4.0,3.0
14000US36059415201,3.0,4.0,3.0
14000US36059517500,3.0,4.0,3.0
14000US36059518000,3.0,4.0,3.0
14000US36047051300,38.0,16.0,19.0
14000US36047038700,32.0,32.0,12.0
14000US36061015601,17.0,19.0,34.0
14000US34023007805,4.0,3.0,4.0
14000US34023007911,4.0,3.0,4.0
14000US34017014600,4.0,3.0,4.0
14000US34003019102,4.0,3.0,4.0
14000US34031264102,4.0,3.0,4.0
14000US34027042600,4.0,3.0,4.0
14000US34029733000,4.0,3.0,4.0
14000US34029732104,4.0,3.0,4.0
14000US34039037602,4.0,3.0,4.0
14000US34013010100,4.0,22.0,4.0
14000US34039035300,4.0,3.0,4.0
14000US36071013000,1.0,1.0,1.0
14000US34027043600,4.0,3.0,4.0
14000US34013006700,4.0,22.0,26.0
14000US34013003700,4.0,22.0,4.0
14000US34029715200,4.0,3.0,4.0
14000US36081003200,1.0,1.0,1.0
14000US36047105804,2.0,2.0,8.0
14000US36061006200,3.0,4.0,3.0
14000US34025811200,4.0,3.0,4.0
14000US36047033700,39.0,31.0,31.0
14000US36061010000,32.0,4.0,2.0
14000US36081018102,38.0,27.0,21.0
14000US36061022900,21.0,35.0,11.0
14000US36047077600,22.0,30.0,33.0
14000US36081103201,1.0,1.0,1.0
14000US36059411200,3.0,4.0,3.0
14000US36085002100,2.0,2.0,2.0
14000US36085020804,2.0,2.0,2.0
14000US36061007100,24.0,25.0,27.0
